hsn_code,description,gst_rate
01010000,"Live horses, asses, mules and hinnies",0
01012100,Live pure-bred breeding horses,0
01012900,Other live horses,0
01020000,Live bovine animals,0
01030000,Live swine,0
01040000,Live sheep and goats,0
01050000,Live poultry,0
01060000,Other live animals,
02010000,"Meat of bovine animals, fresh/chilled",0
02020000,"Meat of bovine animals, frozen",0
02030000,"Meat of swine, fresh/chilled/frozen",0
02040000,Meat of sheep or goats,0
02050000,"Meat of horses/asses/mules, fresh etc.",
02060000,Edible offal of bovine/swine/sheep etc.,
02070000,Meat & offal of poultry,0
02080000,Other meat and edible offal,
02090000,"Pig fat/poultry fat, fresh etc.",
02100000,"Meat and edible offal, salted/in brine",
03010000,Live fish,5
03020000,"Fish, fresh or chilled",5
03030000,"Fish, frozen",5
03040000,"Fish fillets, fresh/chilled/frozen",5
03050000,"Fish, dried/salted/smoked",12
03060000,Crustaceans (live/fresh/chilled/frozen),
03070000,Molluscs (live/fresh/dried etc.),
03080000,Aquatic invertebrates,
04010000,"Milk and cream, not concentrated",
04011000,"Milk and cream, not concentrated, fat ≤1%",0
04012000,"Milk and cream, not concentrated, fat >1% ≤6%",0
04013000,"Milk and cream, not concentrated, fat >6%",0
04020000,"Milk and cream, concentrated",
04021000,"Milk powder, fat ≤1.5%",5
04022100,"Milk powder, not containing added sugar, fat >1.5%",5
04022900,"Other milk powder, fat >1.5%",5
04029100,"Other concentrated milk, not containing added sugar",5
04029900,Other concentrated milk,5
04030000,"Buttermilk, curd, lassi",
04040000,Whey,
04050000,Butter and other fats of milk,
04051000,Butter,12
04052000,Dairy spreads,12
04059000,Other butter and dairy fats,12
04060000,Cheese and curd,
04070000,"Birds' eggs, in shell",
04080000,"Birds' eggs, not in shell",
04090000,"Natural honey, in unit container",
04100000,Edible products of animal origin,
05010000,"Human hair, unworked",
05020000,Pigs'/hogs'/boars' bristles,
05040000,"Animal guts, bladders, stomachs",
05050000,Skins and other parts of birds,
05060000,Bones and horn-cores,
05070000,"Ivory, tortoise-shell, coral etc.",
05080000,Coral and similar materials,
05100000,"Ambergris, castoreum, civet etc.",
05110000,Animal products NEC,
06010000,"Bulbs, tubers, corms",0
06020000,Other live plants (incl. trees),0
06030000,Cut flowers,
06040000,"Foliage, branches for ornament",
07010000,"Potatoes, fresh or chilled",0
07020000,"Tomatoes, fresh or chilled",0
07030000,"Onions, shallots, garlic, leeks",0
07040000,"Cabbages, cauliflowers, kohlrabi",0
07050000,"Lettuce and chicory, fresh/chilled",0
07060000,"Carrots, turnips, salad beetroot",0
07070000,Cucumbers and gherkins,0
07080000,"Leguminous vegetables, fresh",0
07090000,"Other vegetables, fresh/chilled",0
07100000,Vegetables frozen,
07110000,Vegetables provisionally preserved,
07120000,Dried vegetables,
07130000,Dried leguminous vegetables,0
07140000,"Manioc, arrowroot, sweet potatoes",0
08010000,"Coconuts, Brazil nuts, cashews",5
08013200,"Cashew nuts, shelled",5
08020000,"Other tree nuts, fresh or dried",5
08030000,"Bananas (plantains), fresh/dried",0
08040000,"Dates, figs, pineapples, avocados",5
08050000,"Citrus fruit, fresh or dried",5
08060000,"Grapes, fresh or dried (raisins)",5
08070000,Melons (incl. watermelons) and papaws,5
08080000,"Apples, pears and quinces",5
08090000,"Apricots, cherries, peaches, plums",5
08100000,"Other fruit, fresh",5
08110000,"Fruit & nuts, frozen",
08130000,"Fruit, dried; mixtures of nuts/dried fruits",
08140000,Peel of citrus / melons,
09010000,"Coffee, whether/not roasted",5
09020000,"Tea, green or black",5
09030000,Mate,5
09040000,"Pepper, genus Piper (dried/crushed)",5
09050000,Vanilla,5
09060000,Cinnamon and cinnamon-tree flowers,5
09070000,"Cloves (whole fruit, cloves, stems)",5
09080000,"Nutmeg, mace, cardamoms",5
09090000,"Seeds of anise, badian, fennel etc.",5
09091100,Neither crushed nor ground anise seeds,5
09091200,Crushed or ground anise seeds,5
09092100,Cumin seeds,5
09092200,"Cumin seeds, crushed or ground",5
09093100,Neither crushed nor ground pepper,5
09093200,Crushed or ground pepper,5
09094100,Neither crushed nor ground dried pepper,5
09094200,Crushed or ground dried pepper,5
09095100,Neither crushed nor ground vanilla,5
09095200,Crushed or ground vanilla,5
09096100,Neither crushed nor ground cinnamon,5
09096200,Crushed or ground cinnamon,5
09100000,"Ginger, saffron, turmeric (curcuma)",5
10010000,Wheat and meslin,0
10011000,Durum wheat,0
10019000,Other wheat and meslin,0
10020000,Rye,0
10030000,Barley,0
10040000,Oats,0
10050000,Maize (corn),0
10060000,Rice,0
10061000,Rice in husk (paddy or rough),0
10062000,Husked (brown) rice,0
10063000,Semi-milled or wholly milled rice,0
10064000,Broken rice,0
10070000,Grain sorghum,0
10080000,"Buckwheat, millet and canary seed",0
11010000,"Wheat flour (branded, in unit container)",0
11020000,Cereal flours (other than wheat),0
11021000,Rye flour,0
11022000,Maize (corn) flour,0
11029000,"Other cereal flours (besan, ragi, bajra)",0
11030000,"Cereal groats, meal and pellets",0
11031100,Groats and meal of wheat,0
11031900,Groats and meal of other cereals,0
11040000,Cereal grains (worked),0
11041200,Rolled or flaked oats,0
11041900,Other rolled or flaked grains,0
11050000,Flour/meal/powder of potatoes,0
11060000,Flour/meal/powder of dried leguminous,0
11070000,Malt,
11080000,Starches; inulin,
11090000,Wheat gluten,
12010000,Soya beans,
12020000,Ground-nuts,
12030000,Copra,
12040000,Linseed,
12050000,Rape or colza seeds,
12060000,Sunflower seeds,
12070000,Other oil seeds and oleaginous fruits,
12080000,Flours and meals of oil seeds,
12090000,Seeds for sowing,
12100000,Hop cones,
12110000,Plants for perfumery/pharmacy,
12120000,"Locust beans, seaweeds, sugar beet",
12130000,Cereal straw and husks,
12140000,"Swedes, mangolds, forage roots",
13010000,"Lac, natural gums, resins",
13020000,Vegetable saps and extracts,
15010000,"Lard, other pig fat",
15020000,Fats of bovine/sheep/goats,
15030000,"Lard stearin, lard oil, oleostearin",
15040000,Fats/oils of fish/marine mammals,
15050000,Wool grease and fatty substances,
15060000,Other animal fats and oils,
15070000,Soya-bean oil and fractions,5
15080000,Ground-nut oil and fractions,5
15090000,Olive oil and fractions,5
15100000,Other oils from olives,
15110000,Palm oil and fractions,5
15120000,Sunflower / safflower / cotton-seed oil,5
15130000,Coconut / palm-kernel oil,5
15140000,Rape / colza / mustard oil,5
15150000,Other fixed vegetable fats and oils,5
15160000,"Animal/vegetable fats, hydrogenated",5
15170000,"Margarine, edible mixtures of fats",12
15180000,"Animal/vegetable fats, boiled/oxidised",
15200000,"Glycerol, crude",
15210000,Vegetable waxes (except triglycerides),
15220000,"Degras, residues from fat processing",
16010000,Sausages and similar products,
16020000,Other prepared/preserved meat,
16030000,Extracts and juices of meat/fish,
16040000,Prepared/preserved fish; caviar,
16050000,"Crustaceans/molluscs, prepared/preserved",
17010000,"Cane/beet sugar, chemically pure sucrose",5
17011100,Raw cane sugar,5
17011200,Raw cane sugar,5
17011300,"Cane sugar, other",5
17011400,Other raw beet sugar,5
17019100,Refined sugar containing flavouring,5
17019900,Other cane or beet sugar,5
17020000,"Other sugars: lactose, maltose, glucose",5
17030000,Molasses from extraction of sugar,0
17040000,Sugar confectionery (no cocoa),
18010000,"Cocoa beans, whole/broken",5
18020000,"Cocoa shells, husks, skins",5
18030000,Cocoa paste,5
18040000,"Cocoa butter, fat and oil",5
18050000,Cocoa powder,5
18060000,Chocolate and other food preparations with cocoa,18
19010000,Malt extract; food preparations of flour,18
19020000,"Pasta (macaroni, noodles, vermicelli)",18
19030000,Tapioca and substitutes,18
19040000,Prepared foods obtained by swelling cereals,18
19050000,"Bread, pastry, cakes, biscuits",18
19051000,Crispbread,18
19052000,Gingerbread and the like,18
19053000,Sweet biscuits; waffles and wafers — papad,5
19053100,Sweet biscuits,18
19053200,Waffles and wafers,18
19054000,"Rusks, toasted bread and similar",5
19056000,"Communion wafers, empty cachets, rice paper",18
19059000,"Others (bread, pastry, cakes)",18
20010000,"Vegetables, fruit, nuts prepared/preserved in vinegar",12
20011000,"Cucumbers and gherkins, prepared/preserved by vinegar",12
20019000,Other vegetables prepared/preserved by vinegar,12
20020000,Tomatoes prepared/preserved,12
20021000,"Tomatoes, whole or in pieces, prepared/preserved",12
20029000,Other prepared/preserved tomatoes,12
20030000,"Mushrooms and truffles, prepared",12
20031000,"Mushrooms of genus agaricus, prepared/preserved",12
20040000,"Other vegetables prepared/preserved, frozen",12
20041000,"Potatoes, prepared/preserved (frozen)",12
20049000,"Other vegetables, prepared/preserved (frozen)",12
20050000,"Other vegetables prepared, not frozen",12
20051000,"Homogenised vegetables, prepared/preserved",12
20052000,"Potatoes, prepared/preserved (not frozen)",12
20054000,"Peas, prepared/preserved (not frozen)",12
20055100,"Beans, shelled, prepared/preserved (not frozen)",12
20055900,"Other beans, prepared/preserved (not frozen)",12
20056000,"Asparagus, prepared/preserved (not frozen)",12
20057000,"Olives, prepared/preserved (not frozen)",12
20058000,"Sweet corn, prepared/preserved (not frozen)",12
20059100,"Bamboo shoots, prepared/preserved (not frozen)",12
20060000,"Vegetables, fruit, nuts — sugar-preserved",
20070000,"Jams, fruit jellies, marmalades",
20080000,"Fruit, nuts, other edible parts",
20090000,Fruit juices and vegetable juices,
21010000,"Extracts/essences of coffee, tea, mate",18
21020000,Yeasts (active/inactive); baking powder,18
21030000,Sauces and preparations; mixed condiments,12
21040000,Soups and broths and preparations,18
21041000,Soups and broths and preparations thereof,18
21042000,Homogenised composite food preparations,18
21050000,Ice cream and other edible ice,18
21060000,Food preparations NEC,18
21061000,Protein concentrates/textured protein,18
21069020,Pan masala not containing tobacco,18
22010000,"Waters, mineral waters (no sugar)",18
22011000,Mineral waters and aerated waters,18
22019000,Other waters (not sweetened/flavoured),0
22020000,Waters with sugar/flavour; lemonade,28
22021000,"Mineral/aerated water, sugar added",28
22029900,Other non-alcoholic beverages,28
22030000,Beer made from malt,28
22040000,Wine of fresh grapes,0
22050000,Vermouth,0
22070000,"Ethyl alcohol, undenatured >=80%",
22080000,"Spirits, liqueurs, other spirituous",
22090000,Vinegar and substitutes,
23010000,Flours/meals/pellets of meat/fish,
23020000,"Bran, sharps and other residues",
23030000,Residues from starch manufacture,
23040000,Oilcake of soya-bean,
23050000,Oilcake of ground-nut,
23060000,Oil-cake of other vegetable fats,
23070000,Wine lees; argol,
23080000,Vegetable materials for animal feeding,
23090000,Preparations for animal feeding,
24010000,Unmanufactured tobacco,28
24020000,"Cigars, cheroots, cigarillos, cigarettes",28
24030000,Other manufactured tobacco,28
25010000,"Salt (including salt in brine, denatured)",0
25020000,Unroasted iron pyrites,0
25030000,Sulphur of all kinds,0
25040000,Natural graphite,
25050000,Natural sands,
25060000,Quartz; quartzite,
25070000,Kaolin and other kaolinic clays,
25080000,Other clays,
25090000,Chalk,
25100000,Natural calcium phosphates,
25110000,Natural barium sulphate (barytes),
25120000,Siliceous fossil meals (kieselguhr),
25130000,Pumice stone; emery; abrasives,
25140000,Slate,
25150000,"Marble, travertine, ecaussine",
25160000,"Granite, porphyry, basalt, sandstone",
25170000,"Pebbles, gravel, broken stone",
25180000,Dolomite,
25190000,Natural magnesium carbonate (magnesite),
25200000,Gypsum; anhydrite; plasters,
25210000,Limestone flux; limestone for cement,
25220000,"Quicklime, slaked lime, hydraulic lime",
25230000,"Portland cement, aluminous cement",28
25240000,Asbestos,
25250000,"Mica, including mica waste",
25260000,Natural steatite (talc),
25280000,Natural borates and concentrates,
25290000,Feldspar; leucite; nepheline,
25300000,Mineral substances NEC,
26010000,Iron ores and concentrates,
26020000,Manganese ores and concentrates,
26030000,Copper ores and concentrates,
26040000,Nickel ores and concentrates,
26050000,Cobalt ores and concentrates,
26060000,Aluminium ores and concentrates,
26070000,Lead ores and concentrates,
26080000,Zinc ores and concentrates,
26090000,Tin ores and concentrates,
26100000,Chromium ores and concentrates,
26110000,Tungsten ores and concentrates,
26130000,Molybdenum ores and concentrates,
26140000,Titanium ores and concentrates,
26150000,"Niobium, tantalum, vanadium ores",
26160000,Precious metal ores and concentrates,
26170000,Other ores and concentrates,
26180000,Granulated slag from iron/steel,
26190000,Slag from iron/steel manufacture,
26200000,"Slag, ash and residues (metals)",
26210000,Other slag and ash,
27010000,"Coal; briquettes, ovoids of coal",
27020000,Lignite (brown coal),
27030000,Peat (including peat litter),
27040000,Coke and semi-coke of coal,
27050000,"Coal gas, water gas, producer gas",
27060000,Tar distilled from coal/lignite,
27070000,Oils and other products of coal tar,
27080000,Pitch and pitch coke from coal tar,
27090000,"Petroleum oils, crude",0
27100000,"Petroleum oils, not crude",0
27101200,Motor spirit (petrol),0
27101900,Other petroleum oils,0
