hsn_code,description
0101,"Live horses, asses, mules and hinnies"
0101 21,Live pure-bred breeding horses
0101 29,Other live horses
0102,Live bovine animals
0103,Live swine
0104,Live sheep and goats
0105,Live poultry
0106,Other live animals
0201,"Meat of bovine animals, fresh/chilled"
0202,"Meat of bovine animals, frozen"
0203,"Meat of swine, fresh/chilled/frozen"
0204,Meat of sheep or goats
0205,"Meat of horses/asses/mules, fresh etc."
0206,Edible offal of bovine/swine/sheep etc.
0207,Meat & offal of poultry
0208,Other meat and edible offal
0209,"Pig fat/poultry fat, fresh etc."
0210,"Meat and edible offal, salted/in brine"
0301,Live fish
0302,"Fish, fresh or chilled"
0303,"Fish, frozen"
0304,"Fish fillets, fresh/chilled/frozen"
0305,"Fish, dried/salted/smoked"
0306,Crustaceans (live/fresh/chilled/frozen)
0307,Molluscs (live/fresh/dried etc.)
0308,Aquatic invertebrates
0401,"Milk and cream, not concentrated"
0402,"Milk and cream, concentrated"
0403,"Buttermilk, curd, lassi"
0404,Whey
0405,Butter and other fats of milk
0406,Cheese and curd
0407,"Birds' eggs, in shell"
0408,"Birds' eggs, not in shell"
0409,"Natural honey, in unit container"
0410,Edible products of animal origin
0501,"Human hair, unworked"
0502,Pigs'/hogs'/boars' bristles
0504,"Animal guts, bladders, stomachs"
0505,Skins and other parts of birds
0506,Bones and horn-cores
0507,"Ivory, tortoise-shell, coral etc."
0508,Coral and similar materials
0510,"Ambergris, castoreum, civet etc."
0511,Animal products NEC
0601,"Bulbs, tubers, corms"
0602,Other live plants (incl. trees)
0603,Cut flowers
0604,"Foliage, branches for ornament"
0701,"Potatoes, fresh or chilled"
0702,"Tomatoes, fresh or chilled"
0703,"Onions, shallots, garlic, leeks"
0704,"Cabbages, cauliflowers, kohlrabi"
0705,"Lettuce and chicory, fresh/chilled"
0706,"Carrots, turnips, salad beetroot"
0707,Cucumbers and gherkins
0708,"Leguminous vegetables, fresh"
0709,"Other vegetables, fresh/chilled"
0710,Vegetables frozen
0711,Vegetables provisionally preserved
0712,Dried vegetables
0713,Dried leguminous vegetables
0714,"Manioc, arrowroot, sweet potatoes"
0801,"Coconuts, Brazil nuts, cashews"
0801 32,"Cashew nuts, shelled"
0802,"Other tree nuts, fresh or dried"
0803,"Bananas (plantains), fresh/dried"
0804,"Dates, figs, pineapples, avocados"
0805,"Citrus fruit, fresh or dried"
0806,"Grapes, fresh or dried (raisins)"
0807,Melons (incl. watermelons) and papaws
0808,"Apples, pears and quinces"
0809,"Apricots, cherries, peaches, plums"
0810,"Other fruit, fresh"
0811,"Fruit & nuts, frozen"
0813,"Fruit, dried; mixtures of nuts/dried fruits"
0814,Peel of citrus / melons
0901,"Coffee, whether/not roasted"
0902,"Tea, green or black"
0903,Mate
0904,"Pepper, genus Piper (dried/crushed)"
0905,Vanilla
0906,Cinnamon and cinnamon-tree flowers
0907,"Cloves (whole fruit, cloves, stems)"
0908,"Nutmeg, mace, cardamoms"
0909,"Seeds of anise, badian, fennel etc."
0910,"Ginger, saffron, turmeric (curcuma)"
1001,Wheat and meslin
1002,Rye
1003,Barley
1004,Oats
1005,Maize (corn)
1006,Rice
1007,Grain sorghum
1008,"Buckwheat, millet and canary seed"
1101,"Wheat flour (branded, in unit container)"
1102,Cereal flours (other than wheat)
1103,"Cereal groats, meal and pellets"
1104,Cereal grains (worked)
1105,Flour/meal/powder of potatoes
1106,Flour/meal/powder of dried leguminous
1107,Malt
1108,Starches; inulin
1109,Wheat gluten
1201,Soya beans
1202,Ground-nuts
1203,Copra
1204,Linseed
1205,Rape or colza seeds
1206,Sunflower seeds
1207,Other oil seeds and oleaginous fruits
1208,Flours and meals of oil seeds
1209,Seeds for sowing
1210,Hop cones
1211,Plants for perfumery/pharmacy
1212,"Locust beans, seaweeds, sugar beet"
1213,Cereal straw and husks
1214,"Swedes, mangolds, forage roots"
1301,"Lac, natural gums, resins"
1302,Vegetable saps and extracts
1501,"Lard, other pig fat"
1502,Fats of bovine/sheep/goats
1503,"Lard stearin, lard oil, oleostearin"
1504,Fats/oils of fish/marine mammals
1505,Wool grease and fatty substances
1506,Other animal fats and oils
1507,Soya-bean oil and fractions
1508,Ground-nut oil and fractions
1509,Olive oil and fractions
1510,Other oils from olives
1511,Palm oil and fractions
1512,Sunflower / safflower / cotton-seed oil
1513,Coconut / palm-kernel oil
1514,Rape / colza / mustard oil
1515,Other fixed vegetable fats and oils
1516,"Animal/vegetable fats, hydrogenated"
1517,"Margarine, edible mixtures of fats"
1518,"Animal/vegetable fats, boiled/oxidised"
1520,"Glycerol, crude"
1521,Vegetable waxes (except triglycerides)
1522,"Degras, residues from fat processing"
1601,Sausages and similar products
1602,Other prepared/preserved meat
1603,Extracts and juices of meat/fish
1604,Prepared/preserved fish; caviar
1605,"Crustaceans/molluscs, prepared/preserved"
1701,"Cane/beet sugar, chemically pure sucrose"
1701 12,Raw cane sugar
1701 13,"Cane sugar, other"
1701 14,Other raw beet sugar
1701 91,Refined sugar containing flavouring
1702,"Other sugars: lactose, maltose, glucose"
1703,Molasses from extraction of sugar
1704,Sugar confectionery (no cocoa)
1801,"Cocoa beans, whole/broken"
1802,"Cocoa shells, husks, skins"
1803,Cocoa paste
1804,"Cocoa butter, fat and oil"
1805,Cocoa powder
1806,Chocolate and other food preparations with cocoa
1901,Malt extract; food preparations of flour
1902,"Pasta (macaroni, noodles, vermicelli)"
1903,Tapioca and substitutes
1904,Prepared foods obtained by swelling cereals
1905,"Bread, pastry, cakes, biscuits"
1905 10,Crispbread
1905 20,Gingerbread and the like
1905 31,Sweet biscuits
1905 32,Waffles and wafers
1905 40,"Rusks, toasted bread and similar"
1905 90,"Others (bread, pastry, cakes)"
2001,"Vegetables, fruit, nuts prepared/preserved in vinegar"
2002,Tomatoes prepared/preserved
2003,"Mushrooms and truffles, prepared"
2004,"Other vegetables prepared/preserved, frozen"
2005,"Other vegetables prepared, not frozen"
2006,"Vegetables, fruit, nuts — sugar-preserved"
2007,"Jams, fruit jellies, marmalades"
2008,"Fruit, nuts, other edible parts"
2009,Fruit juices and vegetable juices
2101,"Extracts/essences of coffee, tea, mate"
2102,Yeasts (active/inactive); baking powder
2103,Sauces and preparations; mixed condiments
2104,Soups and broths and preparations
2105,Ice cream and other edible ice
2106,Food preparations NEC
2106 10,Protein concentrates/textured protein
2106 90 20,Pan masala not containing tobacco
2201,"Waters, mineral waters (no sugar)"
2202,Waters with sugar/flavour; lemonade
2202 10,"Mineral/aerated water, sugar added"
2203,Beer made from malt
2204,Wine of fresh grapes
2205,Vermouth
2207,"Ethyl alcohol, undenatured >=80%"
2208,"Spirits, liqueurs, other spirituous"
2209,Vinegar and substitutes
2301,Flours/meals/pellets of meat/fish
2302,"Bran, sharps and other residues"
2303,Residues from starch manufacture
2304,Oilcake of soya-bean
2305,Oilcake of ground-nut
2306,Oil-cake of other vegetable fats
2307,Wine lees; argol
2308,Vegetable materials for animal feeding
2309,Preparations for animal feeding
2401,Unmanufactured tobacco
2402,"Cigars, cheroots, cigarillos, cigarettes"
2403,Other manufactured tobacco
2501,"Salt (including salt in brine, denatured)"
2502,Unroasted iron pyrites
2503,Sulphur of all kinds
2504,Natural graphite
2505,Natural sands
2506,Quartz; quartzite
2507,Kaolin and other kaolinic clays
2508,Other clays
2509,Chalk
2510,Natural calcium phosphates
2511,Natural barium sulphate (barytes)
2512,Siliceous fossil meals (kieselguhr)
