hsn_code,gst_rate,effective_from,notes
0101,0.0,2017-07-01,Live horses
0201,0.0,2017-07-01,Meat of bovine animals fresh
0302,5.0,2017-07-01,Fresh fish
0401,0.0,2017-07-01,Milk and cream
0701,0.0,2017-07-01,Potatoes fresh
0901,5.0,2017-07-01,Coffee not roasted
1001,0.0,2017-07-01,Wheat and meslin
1006,0.0,2017-07-01,Rice
1101,0.0,2017-07-01,Wheat flour (atta)
1701,5.0,2017-07-01,Cane sugar
2201,18.0,2017-07-01,Waters including mineral waters
2202,28.0,2017-07-01,Waters with added sugar or sweetener
2401,28.0,2017-07-01,Unmanufactured tobacco
2710,18.0,2017-07-01,Petroleum oils
3004,12.0,2017-07-01,Medicaments for retail sale
3301,18.0,2017-07-01,Essential oils
3401,18.0,2017-07-01,Soap and organic surface-active products
3808,18.0,2017-07-01,Insecticides herbicides
4011,28.0,2017-07-01,New pneumatic tyres of rubber
4901,0.0,2017-07-01,Printed books
5201,5.0,2017-07-01,Cotton not carded or combed
5208,5.0,2017-07-01,Woven fabrics of cotton
6101,12.0,2017-07-01,Mens overcoats of wool
6201,12.0,2017-07-01,Mens overcoats of other textile
6402,18.0,2017-07-01,Footwear outer soles and uppers of rubber
7108,3.0,2017-07-01,Gold
7113,3.0,2017-07-01,Articles of jewellery gold
8471,18.0,2017-07-01,Automatic data processing machines
8517,18.0,2017-07-01,Telephones smartphones
8703,28.0,2017-07-01,Motor cars for transport of persons
